decimal_rgb	html_name	hex_string
"[255,222,173]"	NavajoWhite	#FFDEAD
"[0,0,128]"	Navy	#000080
"[253,245,230]"	OldLace	#FDF5E6
"[128,128,0]"	Olive	#808000
"[107,142,35]"	OliveDrab	#6B8E23
"[255,165,0]"	Orange	#FFA500
"[255,69,0]"	OrangeRed	#FF4500
"[218,112,214]"	Orchid	#DA70D6
"[238,232,170]"	PaleGoldenrod	#EEE8AA
"[152,251,152]"	PaleGreen	#98FB98
"[175,238,238]"	PaleTurquoise	#AFEEEE
"[219,112,147]"	PaleVioletRed	#DB7093
"[255,239,213]"	PapayaWhip	#FFEFD5
"[255,218,185]"	PeachPuff	#FFDAB9
"[205,133,63]"	Peru	#CD853F
"[255,192,203]"	Pink	#FFC0CB
"[221,160,221]"	Plum	#DDA0DD
"[176,224,230]"	PowderBlue	#B0E0E6
"[128,0,128]"	Purple	#800080
"[255,0,0]"	Red	#FF0000
"[188,143,143]"	RosyBrown	#BC8F8F
"[65,105,225]"	RoyalBlue	#4169E1
"[139,69,19]"	SaddleBrown	#8B4513
"[250,128,114]"	Salmon	#FA8072
"[244,164,96]"	SandyBrown	#F4A460
"[46,139,87]"	SeaGreen	#2E8B57
"[255,245,238]"	Seashell	#FFF5EE
"[160,82,45]"	Sienna	#A0522D
"[192,192,192]"	Silver	#C0C0C0
"[135,206,235]"	SkyBlue	#87CEEB
"[106,90,205]"	SlateBlue	#6A5ACD
"[112,128,144]"	SlateGray	#708090
"[255,250,250]"	Snow	#FFFAFA
"[0,255,127]"	SpringGreen	#00FF7F
"[70,130,180]"	SteelBlue	#4682B4
"[210,180,140]"	Tan	#D2B48C
"[0,128,128]"	Teal	#008080
"[216,191,216]"	Thistle	#D8BFD8
"[255,99,71]"	Tomato	#FF6347
"[64,224,208]"	Turquoise	#40E0D0
"[238,130,238]"	Violet	#EE82EE
"[245,222,179]"	Wheat	#F5DEB3
"[255,255,255]"	White	#FFFFFF
"[245,245,245]"	WhiteSmoke	#F5F5F5
"[255,255,0]"	Yellow	#FFFF00
"[154,205,50]"	YellowGreen	#9ACD32
